frame_nr,time,measurement_available,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,-15.031900639983345,-21.487093580870706,-15.031900639983345,-21.487093580870706,3.813254285713835,-4.526755461585503,-0.2822975471603143
1.0,0.04,0.0,-15.106810285165835,-21.431806224818594,-15.106810285165835,-21.431806224818594,3.8167695582736174,-4.533988586167788,-0.27967807513623655
2.0,0.08,0.0,-15.182300471728986,-21.37585735729224,-15.182300471728986,-21.37585735729224,3.8203996583891127,-4.540478155409849,-0.2765334878303366
3.0,0.12,0.0,-15.260423736781112,-21.32061376158678,-15.260423736781112,-21.32061376158678,3.8241104294854362,-4.546092128997237,-0.27303655239627694
4.0,0.16,0.0,-15.338072403910793,-21.26087689136181,-15.338072403910793,-21.26087689136181,3.8278715948584265,-4.550836633743229,-0.2693315222344737
5.0,0.2,0.0,-15.415419026468486,-21.202178573814273,-15.415419026468486,-21.202178573814273,3.8316601556675534,-4.554769671423931,-0.2654799153068428
6.0,0.24,0.0,-15.494665799119424,-21.141143764088017,-15.494665799119424,-21.141143764088017,3.835454808165088,-4.557996540344713,-0.26157731130911754
7.0,0.28,0.0,-15.573074959151297,-21.08074052975677,-15.573074959151297,-21.08074052975677,3.8392399658821774,-4.56063083874142,-0.2576273788363367
8.0,0.32,0.0,-15.648556541490882,-21.022177481535454,-15.648556541490882,-21.022177481535454,3.842994598570402,-4.562795141495985,-0.253726946991822
9.0,0.36,0.0,-15.721092305769767,-20.9653416915869,-15.721092305769767,-20.9653416915869,3.8467075540749787,-4.564575176144251,-0.24985257648596987
10.0,0.4,1.0,-15.792092472679064,-20.909369574508172,-15.792092472679064,-20.909369574508172,3.8503691560404314,-4.566046966531602,-0.24615998482076784
11.0,0.44,1.0,-15.862408686065322,-20.856100002402332,-15.862408686065322,-20.856100002402332,3.8539804406868994,-4.567277520427133,-0.24259979432857764
12.0,0.48,1.0,-16.00808215072796,-20.74517302957426,-16.00808215072796,-20.74517302957426,3.8607916694426705,-4.574026319760097,-0.23695278456465285
13.0,0.52,1.0,-16.15341589076786,-20.63620191179662,-16.15341589076786,-20.63620191179662,3.8677356034918327,-4.579754357534396,-0.23138542729868888
14.0,0.56,1.0,-16.298410065867415,-20.519357358461452,-16.298410065867415,-20.519357358461452,3.8748042559284395,-4.584576646159921,-0.2258721225303984
15.0,0.6,1.0,-16.444675263445507,-20.402599140927496,-16.444675263445507,-20.402599140927496,3.881964628469985,-4.588427494671898,-0.2204392732725891
16.0,0.64,1.0,-16.58844315679691,-20.2842862159974,-16.58844315679691,-20.2842862159974,3.8892131305720907,-4.591522701372648,-0.21507931273098935
17.0,0.68,1.0,-16.731490753505575,-20.16444464210239,-16.731490753505575,-20.16444464210239,3.896490207128571,-4.593650410408518,-0.20987730725461481
18.0,0.72,1.0,-16.875219564768052,-20.040618727320016,-16.875219564768052,-20.040618727320016,3.9037908983247305,-4.59507944192389,-0.20484274030029237
19.0,0.76,1.0,-17.013890978112528,-19.91708182616133,-17.013890978112528,-19.91708182616133,3.911110440189052,-4.5960640378842355,-0.2001610433098493
20.0,0.8,1.0,-17.15629631330601,-19.791198358412593,-17.15629631330601,-19.791198358412593,3.9184560347661064,-4.59680515130634,-0.19584102082955038
21.0,0.84,1.0,-17.29216176803869,-19.666387374834642,-17.29216176803869,-19.666387374834642,3.9258357605166703,-4.597533646941121,-0.19223203335089328
22.0,0.88,1.0,-17.431078790312355,-19.54064429424235,-17.431078790312355,-19.54064429424235,3.9332606193357087,-4.598401548058586,-0.18932152802057947
23.0,0.92,1.0,-17.56803464050817,-19.41397148141656,-17.56803464050817,-19.41397148141656,3.9407443926572,-4.59963482557603,-0.1871102244733514
24.0,0.96,1.0,-17.70237278682309,-19.29091087743691,-17.70237278682309,-19.29091087743691,3.9483019400482617,-4.6013960304275185,-0.18557530713263545
25.0,1.0,1.0,-17.836139089854775,-19.16734730937008,-17.836139089854775,-19.16734730937008,3.9559436566995894,-4.603792198599414,-0.18471472589106494
26.0,1.04,1.0,-17.96497512578253,-19.045429085620498,-17.96497512578253,-19.045429085620498,3.96367968163572,-4.6068655352120205,-0.18447841325695896
27.0,1.08,1.0,-18.093644065962373,-18.921320951271145,-18.093644065962373,-18.921320951271145,3.9715146787156237,-4.610611912912826,-0.184861428796608
28.0,1.12,1.0,-18.2207384691447,-18.797401477235802,-18.2207384691447,-18.797401477235802,3.979455213072568,-4.614990808930528,-0.1857688491686103
29.0,1.16,1.0,-18.35120546906827,-18.669747766264756,-18.35120546906827,-18.669747766264756,3.9874999840686036,-4.619963990872431,-0.18718525231603428
30.0,1.2,1.0,-18.480755289338592,-18.540904189344836,-18.480755289338592,-18.540904189344836,3.9956470390432655,-4.625470628494276,-0.1889203605020924
31.0,1.24,1.0,-18.61349622855035,-18.405931981756872,-18.61349622855035,-18.405931981756872,4.003883550467174,-4.631431653353241,-0.19095176232246552
32.0,1.28,1.0,-18.742763773951772,-18.273733583516783,-18.742763773951772,-18.273733583516783,4.012192749569466,-4.637743290597639,-0.19291827344582624
33.0,1.32,1.0,-18.870735710594992,-18.13480096501248,-18.870735710594992,-18.13480096501248,4.020553664113747,-4.644330652759947,-0.19480345708344832
34.0,1.36,1.0,-18.99558535866828,-18.00101390341815,-18.99558535866828,-18.00101390341815,4.028941602539149,-4.65112822302464,-0.1965829113701132
35.0,1.4000000000000001,1.0,-19.117318771156,-17.865202839046916,-19.117318771156,-17.865202839046916,4.037330452593291,-4.658065125639927,-0.1982272275746402
