frame_nr,time,measurement_available,use_hbb,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,False,28.185173160651985,14.330196047129041,28.05867878350637,14.59973646994395,1.149390702599336,-5.435241570616754,0.28330777379726807
1.0,0.04,0.0,False,28.209593651602596,14.276223221307836,28.109667312152737,14.491103476289348,1.151691811912006,-5.429967286552353,0.28167959753454214
2.0,0.08,0.0,False,28.23376335171393,14.222076400571225,28.161813047034627,14.384710339899398,1.15393141848969,-5.423508524936182,0.2782249305913755
3.0,0.12,0.0,False,28.25774020654808,14.167887574354989,28.211551017803348,14.277811167448334,1.1560769501001205,-5.415964493064293,0.2753033688583419
4.0,0.16,0.0,False,28.281553182112397,14.113983079291918,28.261282023252267,14.168188512706367,1.1582790553838256,-5.407588530811655,0.26923930604062957
5.0,0.2,0.0,False,28.305327865313732,14.060495540626157,28.30804678016255,14.059626316486845,1.160310278339262,-5.39870944747939,0.2639683092825816
6.0,0.24,0.0,False,28.353561135528352,13.95367423513078,28.35611659730626,13.952386266380614,1.1623472257852414,-5.389661059891155,0.2531738844719277
7.0,0.28,0.0,False,28.405731927319472,13.838479876087582,28.402951252493278,13.843048655414933,1.1642773990338537,-5.380740914955264,0.2436004978706429
8.0,0.32,0.0,False,28.461527681170526,13.714281483669293,28.449555045221288,13.734376964625099,1.1662570682578084,-5.372210331048524,0.23551078420235677
9.0,0.36,0.0,False,28.5209491286946,13.581568415825496,28.495869962191268,13.628842623724275,1.1683376702752422,-5.364275905545693,0.22870915302507097
10.0,0.4,1.0,False,28.58409025548722,13.43999245924041,28.54307469732709,13.52562015396852,1.1704406980304027,-5.357071927028404,0.2226560524811359
11.0,0.44,1.0,False,28.650887794620413,13.289569455815702,28.58924475586715,13.424702109494874,1.172508131137384,-5.350706739362095,0.21725389957966237
12.0,0.48,1.0,False,28.720997652546938,13.130207408655219,28.683546021855058,13.223965526814126,1.1764020659365237,-5.340871838316557,0.20864270181125302
13.0,0.52,1.0,False,28.79421472502719,12.962561455776614,28.77556633939625,13.018528023298256,1.1805029552872006,-5.331031758875414,0.20035402066516078
14.0,0.56,1.0,False,28.87061006309269,12.785960799071711,28.86518694056814,12.817967421166532,1.1851043272279798,-5.32147110389841,0.19221672367417678
15.0,0.6,1.0,False,28.949899699228705,12.600884564417198,28.955834417971083,12.610852990270457,1.189992599996145,-5.312299346833887,0.18444883324572303
16.0,0.64,1.0,False,29.0320772854226,12.407247715542603,29.042819710627676,12.404973278815042,1.1955090652708456,-5.303776012035498,0.17736852478068107
17.0,0.68,1.0,False,29.117114942870806,12.205048300233896,29.127325034498018,12.199403747615305,1.2014141352153183,-5.295788091853597,0.17075856192541564
18.0,0.72,1.0,False,29.200583218118666,12.00332969828205,29.208339049776026,11.99894317375026,1.2080133803033537,-5.288596807441051,0.1652779417015417
19.0,0.76,1.0,False,29.2825932792543,11.802862548989287,29.2899037639418,11.791769740871192,1.214762189958558,-5.282390252331284,0.16026748993300974
20.0,0.8,1.0,False,29.36335985298657,11.602868402959103,29.368055959687428,11.593004042524624,1.221941421029529,-5.277263945463234,0.15667400914275767
21.0,0.84,1.0,False,29.44262225764544,11.404011620185017,29.447028145459985,11.395614816347948,1.2292617044065213,-5.273290955271879,0.1536217103362207
22.0,0.88,1.0,False,29.520548270493556,11.206366825448752,29.52465898779743,11.200508541099122,1.236923157461949,-5.270422587076337,0.15245336922561695
23.0,0.92,1.0,False,29.59730024302555,11.009983690759483,29.60169704958156,11.0050609053438,1.2448828375966174,-5.268645416082206,0.1517223433314605
24.0,0.96,1.0,False,29.672895085050218,10.814051166928904,29.677677011888175,10.813389381077872,1.2530042380487258,-5.2678405492219715,0.1535614530683669
25.0,1.0,1.0,False,29.7470590168156,10.618972767589902,29.753619251623043,10.618031814834518,1.2612273911003706,-5.2678070542261395,0.15545983056759105
26.0,1.04,1.0,False,29.819927836960492,10.423405614933065,29.827720869218723,10.423428379755512,1.269329160146794,-5.268270914966406,0.16192687048551943
27.0,1.08,1.0,False,29.89125628111767,10.227262416040217,29.900005851956973,10.230880536716132,1.277331850877222,-5.268949350948783,0.16812488346800913
28.0,1.12,1.0,False,29.9611702523946,10.030557292420921,29.971596732349884,10.03918926603335,1.2852806039915667,-5.269572543344589,0.17396602136131073
29.0,1.16,1.0,False,30.02959734463384,9.832905563703832,30.03988231204741,9.84368541161388,1.293004263188851,-5.269880305393555,0.1787323101051609
30.0,1.2,1.0,False,30.09649481467819,9.63412379156735,30.105707013360973,9.64590734814217,1.3005503703707824,-5.269661881567855,0.18280975416613116
31.0,1.24,1.0,False,30.161874148454125,9.434128650168079,30.16961298128125,9.44176536329941,1.3081019017290583,-5.268724336527524,0.18601412907992176
32.0,1.28,1.0,False,30.22564828428897,9.233587747448858,30.23164103118892,9.238039628526606,1.3154704631322236,-5.266941901624277,0.18834678858874213
33.0,1.32,1.0,False,30.287837351387328,9.031957744036903,30.293712671843632,9.036752181286884,1.322703996969078,-5.264238068235639,0.1894712957339481
34.0,1.36,1.0,False,30.348094327706743,8.829832103591484,30.354395064213218,8.830891889455824,1.3295107469817686,-5.260601241543865,0.1897063258328404
