frame_nr,time,measurement_available,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,20.604868849435654,-23.212743308329227,20.604868849435654,-23.212743308329227,2.4433024422456837,-2.6996903482310177,-0.2723633582164858
1.0,0.04,0.0,20.56448010694219,-23.241178076544422,20.56448010694219,-23.241178076544422,2.4436306995765835,-2.7079739875262545,-0.26672086291557245
2.0,0.08,0.0,20.521835168979194,-23.27062088092098,20.521835168979194,-23.27062088092098,2.4440452145644356,-2.7150926738482393,-0.2598903520175655
3.0,0.12,0.0,20.48111196977371,-23.299686204832668,20.48111196977371,-23.299686204832668,2.4445623277127457,-2.7208521014488625,-0.2522126635004148
4.0,0.16,0.0,20.439665020682256,-23.32891647563175,20.439665020682256,-23.32891647563175,2.445170023503472,-2.725170186297019,-0.24398986277045076
5.0,0.2,0.0,20.39939495206468,-23.35602602320358,20.39939495206468,-23.35602602320358,2.4458725670241246,-2.7280126013696355,-0.23537842349400145
6.0,0.24,0.0,20.358331542061872,-23.390983392438034,20.358331542061872,-23.390983392438034,2.4466539381795323,-2.7294045417932042,-0.2266051697045422
7.0,0.28,0.0,20.317466442787456,-23.42320189609284,20.317466442787456,-23.42320189609284,2.4475227973331712,-2.729406435576447,-0.21773555503395847
8.0,0.32,0.0,20.2761783940657,-23.463675800596764,20.2761783940657,-23.463675800596764,2.448461740169063,-2.7281201859039106,-0.20901573991741484
9.0,0.36,0.0,20.232752134672975,-23.50209338042763,20.232752134672975,-23.50209338042763,2.4494746665229776,-2.7256446812551385,-0.2004464316390346
10.0,0.4,1.0,20.189101744789134,-23.54279280766883,20.189101744789134,-23.54279280766883,2.450543940109236,-2.722102771556303,-0.19237830602022254
11.0,0.44,1.0,20.142112344649103,-23.58154382110228,20.142112344649103,-23.58154382110228,2.4516725406288047,-2.717618902364319,-0.18474893910502702
12.0,0.48,1.0,20.05666130971627,-23.657159804905348,20.05666130971627,-23.657159804905348,2.4533291445473138,-2.717052170312166,-0.17266089299528994
13.0,0.52,1.0,19.970324514189894,-23.729884958949004,19.970324514189894,-23.729884958949004,2.4551859024043927,-2.7142105166395796,-0.16095492478793946
14.0,0.56,1.0,19.884138642679865,-23.802378835481306,19.884138642679865,-23.802378835481306,2.4572412292676677,-2.7092239449641937,-0.1496169989293704
15.0,0.6,1.0,19.798129341393434,-23.86944717245526,19.798129341393434,-23.86944717245526,2.459491630862146,-2.7020651976515637,-0.13871264136914477
16.0,0.64,1.0,19.710053729889147,-23.938248622089166,19.710053729889147,-23.938248622089166,2.4619317022647382,-2.6930031419339775,-0.12821636216156834
17.0,0.68,1.0,19.624980944205547,-24.00261782509881,19.624980944205547,-24.00261782509881,2.4645558516452564,-2.681921223278808,-0.11826737347291512
18.0,0.72,1.0,19.538629239651584,-24.070255909449962,19.538629239651584,-24.070255909449962,2.467349147332589,-2.669169585342111,-0.1088269523229404
19.0,0.76,1.0,19.453921876992872,-24.137032020858033,19.453921876992872,-24.137032020858033,2.4702819333203516,-2.6551386571478277,-0.1001930441905152
20.0,0.8,1.0,19.365416544601615,-24.211467987567225,19.365416544601615,-24.211467987567225,2.473337509454712,-2.640213481847746,-0.09231514386439331
21.0,0.84,1.0,19.279711433028723,-24.283386548840554,19.279711433028723,-24.283386548840554,2.476494522297072,-2.6248241009629667,-0.08582198256436588
22.0,0.88,1.0,19.19653089217868,-24.35650002221332,19.19653089217868,-24.35650002221332,2.4797365619457383,-2.609356032961487,-0.08064562861914026
23.0,0.92,1.0,19.10814435141313,-24.433645265263106,19.10814435141313,-24.433645265263106,2.4830425410451276,-2.594234392243023,-0.0767419953876876
