frame_nr,time,measurement_available,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,-24.049153182216987,10.191289367564533,-24.049153182216987,10.191289367564533,5.208164385988639,-5.448954103082455,-0.2807105444706554
1.0,0.04,0.0,-23.99951184476569,10.29377690222896,-23.99951184476569,10.29377690222896,5.210942507219364,-5.470253095605498,-0.2776001280323152
2.0,0.08,0.0,-23.94665051180294,10.38887255596725,-23.94665051180294,10.38887255596725,5.213867719678003,-5.4908259339655165,-0.2738752315932453
3.0,0.12,0.0,-23.899457074124356,10.485635190197836,-23.899457074124356,10.485635190197836,5.216925789030705,-5.510377982220638,-0.26975947420987273
4.0,0.16,0.0,-23.849194451070403,10.579819637981178,-23.849194451070403,10.579819637981178,5.220103074783793,-5.528853871206464,-0.2654451219824591
5.0,0.2,0.0,-23.799933025797866,10.676722058222586,-23.799933025797866,10.676722058222586,5.2233933974165945,-5.546242706159627,-0.2610253080573872
6.0,0.24,0.0,-23.748288478450284,10.774545130216342,-23.748288478450284,10.774545130216342,5.226781867347444,-5.562627734596504,-0.25663273395903186
7.0,0.28,0.0,-23.698428235253562,10.87229738313346,-23.698428235253562,10.87229738313346,5.230263685289463,-5.5781266176208595,-0.2522895290609357
8.0,0.32,0.0,-23.642243767594408,10.974632533008396,-23.642243767594408,10.974632533008396,5.233821627476946,-5.5928835067794935,-0.24812648248544084
9.0,0.36,0.0,-23.590601872149637,11.072569192571857,-23.590601872149637,11.072569192571857,5.237448244981464,-5.606965703373591,-0.24412292069173416
10.0,0.4,1.0,-23.53516782945993,11.17211618500902,-23.53516782945993,11.17211618500902,5.241127940626353,-5.620443674504933,-0.24047067173515296
11.0,0.44,1.0,-23.482553881126027,11.268098088577624,-23.482553881126027,11.268098088577624,5.244853176835086,-5.63336634949521,-0.2371071827185441
12.0,0.48,1.0,-23.38067107357223,11.462723041070948,-23.38067107357223,11.462723041070948,5.251418138890871,-5.663980655833293,-0.2316233988153354
13.0,0.52,1.0,-23.279614841636793,11.655544379904955,-23.279614841636793,11.655544379904955,5.258253990998081,-5.693355309124287,-0.22645854372508722
14.0,0.56,1.0,-23.174722674287164,11.856476433836203,-23.174722674287164,11.856476433836203,5.265349154282563,-5.721502385218347,-0.22156941288162763
15.0,0.6,1.0,-23.065819501128253,12.051375335917934,-23.065819501128253,12.051375335917934,5.272664341553233,-5.748064995704943,-0.21696277347733894
16.0,0.64,1.0,-22.958954958584876,12.25086353457762,-22.958954958584876,12.25086353457762,5.28018630833603,-5.773144789806356,-0.21259300019012767
17.0,0.68,1.0,-22.847103589588983,12.44614222721499,-22.847103589588983,12.44614222721499,5.287850946380463,-5.796050358867591,-0.20851814996004175
18.0,0.72,1.0,-22.733017649407962,12.645523144549443,-22.733017649407962,12.645523144549443,5.295637344245047,-5.816883125116904,-0.20469491680304724
19.0,0.76,1.0,-22.620645617664017,12.840833361793168,-22.620645617664017,12.840833361793168,5.303516186002133,-5.835749885012706,-0.20128968662739247
20.0,0.8,1.0,-22.498881884238887,13.041238920860597,-22.498881884238887,13.041238920860597,5.311467236677098,-5.8527460373096165,-0.19825346975894517
21.0,0.84,1.0,-22.38607457342511,13.232978650791647,-22.38607457342511,13.232978650791647,5.319474822101325,-5.868022498669036,-0.195953033716882
22.0,0.88,1.0,-22.264221165289833,13.433531470902556,-22.264221165289833,13.433531470902556,5.327523786122667,-5.88168110662657,-0.1943193578759701
23.0,0.92,1.0,-22.14139387986051,13.627227488203612,-22.14139387986051,13.627227488203612,5.335605419451697,-5.8939874010099045,-0.1933042174399028
24.0,0.96,1.0,-22.01718150398998,13.826348577849469,-22.01718150398998,13.826348577849469,5.343715366567243,-5.90515933525794,-0.19283854688906632
25.0,1.0,1.0,-21.889411212763957,14.02137091907062,-21.889411212763957,14.02137091907062,5.351844774655562,-5.915409021001976,-0.1928886430353978
26.0,1.04,1.0,-21.761369798722285,14.214438077364894,-21.761369798722285,14.214438077364894,5.359993982830677,-5.924908159007611,-0.1933761121270905
27.0,1.08,1.0,-21.62968081776706,14.407937625072984,-21.62968081776706,14.407937625072984,5.3681549109616125,-5.933797928667487,-0.1942876779847706
