frame_nr,time,measurement_available,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,-30.861202601134057,-1.9016639598566583,-30.861202601134057,-1.9016639598566583,4.737223756002221,-5.272213932864091,-0.2828154036825867
1.0,0.04,0.0,-30.861178516384193,-1.7898981652950243,-30.861178516384193,-1.7898981652950243,4.740749909525577,-5.275347666404734,-0.28034715109334896
2.0,0.08,0.0,-30.865489384814058,-1.6890730304896202,-30.865489384814058,-1.6890730304896202,4.7444414137037425,-5.2766281782246764,-0.2774008400688896
3.0,0.12,0.0,-30.864016554756343,-1.571266146608945,-30.864016554756343,-1.571266146608945,4.748270050703766,-5.275982247682886,-0.2741539888597599
4.0,0.16,0.0,-30.86754638300321,-1.4631437825351488,-30.86754638300321,-1.4631437825351488,4.752206214114581,-5.273554018518477,-0.27075397029579024
5.0,0.2,0.0,-30.866340138017527,-1.3503343419866614,-30.866340138017527,-1.3503343419866614,4.756230091202726,-5.269628731556581,-0.2672602752957481
6.0,0.24,0.0,-30.870913716034767,-1.2421177875661493,-30.870913716034767,-1.2421177875661493,4.7603079064539795,-5.264557474471672,-0.263762735476919
7.0,0.28,0.0,-30.86701445096269,-1.127821129738504,-30.86701445096269,-1.127821129738504,4.764417652084871,-5.2587291872094974,-0.2602555601463735
8.0,0.32,0.0,-30.8711641587859,-1.0184757432699199,-30.8711641587859,-1.0184757432699199,4.768524865548086,-5.252511571286651,-0.25682246466534214
9.0,0.36,0.0,-30.869290796707723,-0.9067195155647266,-30.869290796707723,-0.9067195155647266,4.772613926813573,-5.246242979786837,-0.25342259143178203
10.0,0.4,1.0,-30.86953145082015,-0.7938324036038873,-30.86953145082015,-0.7938324036038873,4.776656401801333,-5.24016438058999,-0.25018978526750296
11.0,0.44,1.0,-30.866635294503546,-0.6837067484627145,-30.866635294503546,-0.6837067484627145,4.780638564332042,-5.234473002357829,-0.24705071533114
12.0,0.48,1.0,-30.86279933026961,-0.46591606641723216,-30.86279933026961,-0.46591606641723216,4.787897032093164,-5.230840642367098,-0.24199363504200164
13.0,0.52,1.0,-30.855987695192283,-0.24852374222020882,-30.855987695192283,-0.24852374222020882,4.795283342369965,-5.226181917083458,-0.23694418949962714
14.0,0.56,1.0,-30.8517871569206,-0.03208702923160171,-30.8517871569206,-0.03208702923160171,4.802764059330135,-5.220870769082188,-0.2318305386307235
15.0,0.6,1.0,-30.844265028229778,0.18277539487968525,-30.844265028229778,0.18277539487968525,4.810275179620839,-5.214974505361749,-0.2266270690247627
16.0,0.64,1.0,-30.83903633994374,0.40098376008733644,-30.83903633994374,0.40098376008733644,4.817784693710188,-5.208910621049916,-0.221275436327578
17.0,0.68,1.0,-30.82489858262565,0.6166687542751329,-30.82489858262565,0.6166687542751329,4.8252077773540405,-5.202434475654764,-0.21581023365843532
18.0,0.72,1.0,-30.816014865974417,0.8290002840658021,-30.816014865974417,0.8290002840658021,4.832515696707931,-5.195984018444095,-0.21019590370991895
19.0,0.76,1.0,-30.80209047320858,1.0430084547337661,-30.80209047320858,1.0430084547337661,4.839670811875846,-5.1899029736413755,-0.2045758565758292
20.0,0.8,1.0,-30.784665624379812,1.2566956144580428,-30.784665624379812,1.2566956144580428,4.846649242668571,-5.18443946140774,-0.19892736143111142
21.0,0.84,1.0,-30.767573755513318,1.4651652839176825,-30.767573755513318,1.4651652839176825,4.8534355692354065,-5.179858578170752,-0.19357498421511338
