frame_nr,time,measurement_available,use_hbb,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,False,-23.955440757759007,-10.603501452321838,-23.902190837783323,-10.735392441850898,4.30790169826681,-2.988237168569492,0.2824864173870714
1.0,0.04,0.0,False,-23.967087680564855,-10.57647177323489,-23.922322681646946,-10.682574205411852,4.309094585313825,-2.9999745624451783,0.2808095886930832
2.0,0.08,0.0,False,-23.979036429143918,-10.549450118834578,-23.942339467910323,-10.631161440113338,4.310208690052426,-3.0107287091320316,0.2768573990651801
3.0,0.12,0.0,False,-23.99095911970704,-10.522499769117895,-23.964950892987105,-10.578724015650899,4.311904236155428,-3.020307821536201,0.2738318369270327
4.0,0.16,0.0,False,-24.003018130038704,-10.495028776033323,-23.987937737971972,-10.523835064425437,4.313493140026775,-3.028643737492978,0.2669051765608681
5.0,0.2,0.0,False,-24.015168349148528,-10.467143063329333,-24.01290292825436,-10.469321546478612,4.315226829798324,-3.0357647400970893,0.2614272634707012
6.0,0.24,0.0,False,-24.03861703339858,-10.41231511461282,-24.036969217399953,-10.414293698713198,4.317014831877547,-3.041789366861715,0.2491108698301258
7.0,0.28,0.0,False,-24.06450182920123,-10.35225496242708,-24.062677669197345,-10.36029853803239,4.318896252571606,-3.0468719075714192,0.23913756996215557
8.0,0.32,0.0,False,-24.09285789058589,-10.286688124075821,-24.08634064421202,-10.306896971384433,4.320950623681492,-3.0511975959423663,0.23065810101202383
9.0,0.36,0.0,False,-24.12371645136363,-10.2155392602241,-24.111549223023694,-10.247789838272164,4.323132426015799,-3.0549261832889405,0.22344719117530287
10.0,0.4,1.0,False,-24.15685878861784,-10.1387706163978,-24.136670540246758,-10.188285936289446,4.325538880965048,-3.058205602510621,0.21754961633422726
11.0,0.44,1.0,False,-24.19201627572586,-10.056579707935727,-24.160126364533898,-10.132285005969234,4.328011951400045,-3.0611855404303077,0.21257908868751213
12.0,0.48,1.0,False,-24.229214057017327,-9.969026478215005,-24.207055435476075,-10.021912531368708,4.331982477088496,-3.0730325591392242,0.20426779587517396
13.0,0.52,1.0,False,-24.268363446403043,-9.87596205446183,-24.254256143141586,-9.909926218249513,4.33608181075615,-3.083828587660387,0.1963270849636302
14.0,0.56,1.0,False,-24.309712868308985,-9.777181633227839,-24.304395061542245,-9.796086513281965,4.3402798307804895,-3.0937526630540795,0.18868041137882524
15.0,0.6,1.0,False,-24.35301861849043,-9.673280238026472,-24.352503447768303,-9.679379982336139,4.344618923892632,-3.1027641919289097,0.1813790831073186
16.0,0.64,1.0,False,-24.398357134557475,-9.564284899716878,-24.3996352864426,-9.565221553395789,4.349040875790735,-3.111125689833158,0.17386556787012478
17.0,0.68,1.0,False,-24.44577971069267,-9.44967082470918,-24.44614481160606,-9.451208171785272,4.353522136964789,-3.118559989503402,0.16626663127949956
18.0,0.72,1.0,False,-24.49302879107155,-9.334713828410047,-24.493320952440246,-9.336589876747478,4.358240219916525,-3.125344388816775,0.15868081407062745
19.0,0.76,1.0,False,-24.53999287503698,-9.219482854785673,-24.541184285177344,-9.220312337810528,4.3629557861518276,-3.131733085073633,0.15088926332003377
20.0,0.8,1.0,False,-24.586250151627542,-9.104175471953328,-24.58791247501959,-9.104874491057096,4.367888509049968,-3.1379707121916467,0.14369597042832338
21.0,0.84,1.0,False,-24.6319565229638,-8.988872219415274,-24.63539421698429,-8.989337214883914,4.372606704483453,-3.1443099476057403,0.1364025025826553
22.0,0.88,1.0,False,-24.677024582145933,-8.873311973599842,-24.681774702021002,-8.871530180884578,4.377640295146127,-3.1509656880115675,0.13077675816127515
23.0,0.92,1.0,False,-24.721541881196,-8.756849371495058,-24.726795319643763,-8.757385572078254,4.382335717361822,-3.158209134801205,0.12467481662838897
24.0,0.96,1.0,False,-24.765271203318875,-8.640023344166497,-24.770861066761302,-8.6423855083814,4.387228782096004,-3.1662784773364985,0.121390965174256
25.0,1.0,1.0,False,-24.808042138313507,-8.523121596465721,-24.813225104038462,-8.527705302126183,4.391914632548692,-3.175359566989905,0.11715688420001999
26.0,1.04,1.0,False,-24.85004399402244,-8.405788170680966,-24.855273532467173,-8.411044204417518,4.396633085210927,-3.1855718372416897,0.11850339477719019
27.0,1.08,1.0,False,-24.891064681308645,-8.28803216823634,-24.89538393744602,-8.294058849426055,4.401341621597932,-3.196971427994739,0.11923525515891928
28.0,1.12,1.0,False,-24.931164979268388,-8.170063673005826,-24.935835101156762,-8.170119548632622,4.406056896790543,-3.2095559809511642,0.1197720859582462
29.0,1.16,1.0,False,-24.970331082785084,-8.05149928508913,-24.974343495791935,-8.051503576133332,4.410753875393192,-3.223297396029344,0.12014394248785795
30.0,1.2,1.0,False,-25.00839151827901,-7.932974575455828,-25.01166457011826,-7.93439311310198,4.41542844793567,-3.2381632738991564,0.12021707536246355
31.0,1.24,1.0,False,-25.045478833905904,-7.813960066660022,-25.049932887817832,-7.8142068074247915,4.420109890928034,-3.2540730436789764,0.12023395829890364
32.0,1.28,1.0,False,-25.081650495094276,-7.694473200940013,-25.08662177713259,-7.694021187993037,4.424857974652701,-3.2709177180551117,0.12021368875806342
33.0,1.32,1.0,False,-25.117229718226056,-7.574370640966299,-25.12287797957818,-7.573876733348928,4.429453993010393,-3.288565327968925,0.11964877331272798
