frame_nr,time,measurement_available,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,-8.395878221039162,-24.871650717410127,-8.395878221039162,-24.871650717410127,3.5033970160145533,-3.8336202043163348,-0.2794987359398301
1.0,0.04,0.0,-8.469464616250944,-24.847210534206464,-8.469464616250944,-24.847210534206464,3.5060882534950784,-3.8500826871334084,-0.27603214921987007
2.0,0.08,0.0,-8.544757453991616,-24.824002893391864,-8.544757453991616,-24.824002893391864,3.5088378285101807,-3.865547655282579,-0.2718447963078789
3.0,0.12,0.0,-8.619783424116418,-24.796660121953767,-8.619783424116418,-24.796660121953767,3.5116265402909037,-3.8797265697627115,-0.2671487571336301
4.0,0.16,0.0,-8.69095796577851,-24.771704663593024,-8.69095796577851,-24.771704663593024,3.514435278719643,-3.8924733841936168,-0.26213074982161105
5.0,0.2,0.0,-8.7657038093228,-24.744483464717852,-8.7657038093228,-24.744483464717852,3.517259630749312,-3.903736970543522,-0.2568801307260728
6.0,0.24,0.0,-8.833276486468673,-24.719455370899496,-8.833276486468673,-24.719455370899496,3.5200856308192168,-3.9135731368856415,-0.2515328711213013
7.0,0.28,0.0,-8.89991456667029,-24.694219386980087,-8.89991456667029,-24.694219386980087,3.5229163202756584,-3.9220657735960764,-0.2461157873975538
8.0,0.32,0.0,-8.970345455220453,-24.667017554750224,-8.970345455220453,-24.667017554750224,3.5257447131500026,-3.9293284423397132,-0.24077304532611202
9.0,0.36,0.0,-9.041309200230165,-24.640220184738364,-9.041309200230165,-24.640220184738364,3.5285773863317282,-3.9354609507305818,-0.23549786582322893
10.0,0.4,1.0,-9.117726933060586,-24.61204180707628,-9.117726933060586,-24.61204180707628,3.5314106521769597,-3.940554245967085,-0.23050543509146654
11.0,0.44,1.0,-9.193195966079461,-24.583697242400387,-9.193195966079461,-24.583697242400387,3.5342547338682957,-3.9447174189398218,-0.22575440138959374
12.0,0.48,1.0,-9.341254452543161,-24.530668040451868,-9.341254452543161,-24.530668040451868,3.539633821728362,-3.960546259994542,-0.21824394229659116
13.0,0.52,1.0,-9.487557896361432,-24.476821491563918,-9.487557896361432,-24.476821491563918,3.545175979523222,-3.974328007567668,-0.2109367154779637
14.0,0.56,1.0,-9.63615457958306,-24.42163534904423,-9.63615457958306,-24.42163534904423,3.5508861280212507,-3.9861339274488032,-0.20382659063654632
15.0,0.6,1.0,-9.785067348468262,-24.363533592021252,-9.785067348468262,-24.363533592021252,3.5567378946795913,-3.995803401020825,-0.19696113656379338
