frame_nr,time,measurement_available,use_hbb,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,False,24.578213887058297,-10.57624467147699,24.687155557478935,-10.338353671872557,2.031793546000559,-5.035685496570061,0.28539740123554996
1.0,0.04,0.0,False,24.55620047252569,-10.623098569867091,24.64329143492756,-10.4335894158844,2.035017058227573,-5.04724612007094,0.2842277159789798
2.0,0.08,0.0,False,24.53416168712939,-10.670009732689632,24.600126879337765,-10.531729347326303,2.0382226725995034,-5.057751557023817,0.2817174817150001
3.0,0.12,0.0,False,24.511955507092775,-10.716854496009024,24.556344226089124,-10.626168645205276,2.0412024526726857,-5.0669972683057525,0.27961728292272797
4.0,0.16,0.0,False,24.489484755875484,-10.763578449783648,24.513557917133422,-10.718346602046903,2.0441378628942677,-5.074925794100551,0.2752116553890866
5.0,0.2,0.0,False,24.466661165832974,-10.81005036628531,24.468807307382974,-10.809280346526501,2.047106196673121,-5.081578484209565,0.2714210427032068
6.0,0.24,0.0,False,24.421336972030485,-10.903285970886095,24.42411998533003,-10.904221960207689,2.0501125736047094,-5.087054095524744,0.26357964002088563
7.0,0.28,0.0,False,24.371663237284835,-11.004746455902422,24.379890189355304,-10.998387872447427,2.0531491228125915,-5.091468411421771,0.25669319822230513
8.0,0.32,0.0,False,24.317233130423617,-11.114300545074734,24.33430606679987,-11.091612602564155,2.0562355713278895,-5.09497470492936,0.2509561056689309
9.0,0.36,0.0,False,24.258044270329265,-11.231971053581136,24.287247994919845,-11.184094033755267,2.0593590266575097,-5.097700068971311,0.2461562729992685
10.0,0.4,1.0,False,24.193880237780732,-11.357645356835258,24.23842526540789,-11.274769531301928,2.062525069108725,-5.0997642723656105,0.24186606065058056
11.0,0.44,1.0,False,24.124540062583012,-11.491487813562438,24.18858942565156,-11.3639453224812,2.065949674637995,-5.1012758124978,0.23832693676036837
12.0,0.48,1.0,False,24.050248943495674,-11.633008378183483,24.096880352725336,-11.549654751064004,2.072268515341517,-5.111010191645595,0.2324204844602845
13.0,0.52,1.0,False,23.970737089518185,-11.78263378202957,24.001395703864404,-11.736824328221712,2.078987019274931,-5.1190945557275125,0.22680009088142591
14.0,0.56,1.0,False,23.88616327912608,-11.940405376450691,23.905266765051277,-11.92054423877572,2.0862456545898107,-5.1256478614465735,0.2217320708304821
15.0,0.6,1.0,False,23.796702405994594,-12.106456926449967,23.807753559099567,-12.100763937842236,2.0938255024471153,-5.130547839268246,0.21724762477737766
16.0,0.64,1.0,False,23.702543877557275,-12.280611032500934,23.70606538020803,-12.281547370525482,2.101747780615101,-5.134002785480538,0.213335689021337
17.0,0.68,1.0,False,23.603590004224408,-12.462782031689164,23.606917675369335,-12.460948171039183,2.1099967914492828,-5.1356693310665555,0.20978073739407593
18.0,0.72,1.0,False,23.503409953981546,-12.644284802027569,23.5052597956029,-12.644267314754376,2.1184422425929914,-5.135813569704263,0.20702316106244228
19.0,0.76,1.0,False,23.402053218963736,-12.825144477087587,23.403994152486714,-12.8271001411965,2.1272182084896674,-5.134678146646058,0.2048755292837811
20.0,0.8,1.0,False,23.299377408358044,-13.005637490462464,23.30317839047352,-13.010661083747319,2.1363135423679607,-5.132460342113536,0.20358530346405063
21.0,0.84,1.0,False,23.195534308144808,-13.185627073907314,23.202681452597407,-13.190464697862534,2.1456028631779196,-5.129395730308081,0.20274616771927198
22.0,0.88,1.0,False,23.090826848017976,-13.364523197258274,23.100096818989975,-13.36782631355174,2.154982995310415,-5.125673533434947,0.20293668377264265
23.0,0.92,1.0,False,22.985076066235408,-13.542641087426205,22.994899800053858,-13.546185224786438,2.16461848735275,-5.121550584397746,0.20330537544477587
24.0,0.96,1.0,False,22.878383972467525,-13.71941638423749,22.886471618668516,-13.726280753881912,2.174185449524541,-5.117240816234743,0.2052062742866993
25.0,1.0,1.0,False,22.77067856419042,-13.895031258142351,22.77583284838862,-13.905967385899384,2.1838033156335324,-5.11287869678835,0.20717732020222074
26.0,1.04,1.0,False,22.66159870184655,-14.069411997010407,22.665479456754003,-14.080649355735591,2.193381578545135,-5.108550589736097,0.21215270872984884
27.0,1.08,1.0,False,22.55104730011974,-14.243098500814424,22.554283318812843,-14.249404727386027,2.202943352651298,-5.104302499682325,0.21720365945090406
28.0,1.12,1.0,False,22.43910174148479,-14.415796617971061,22.443659075761094,-14.420244962886438,2.2123492613320224,-5.1001353566762235,0.22142052676024643
29.0,1.16,1.0,False,22.326077501934524,-14.587588166794616,22.331646764156197,-14.588795579678532,2.2216729267710846,-5.096040480657335,0.22471390197765656
30.0,1.2,1.0,False,22.21168877653015,-14.758064885425965,22.219234661438517,-14.758863754149928,2.2306983173151447,-5.091991949664687,0.22705604058089435
31.0,1.24,1.0,False,22.096241514783973,-14.926977425395025,22.103299904691,-14.92884921129596,2.239352624375595,-5.087948305929736,0.2283269734959797
32.0,1.28,1.0,False,21.979557913266913,-15.094616003600862,21.98661603360253,-15.101016239706734,2.2478550890796964,-5.083838677402246,0.22889193319853418
33.0,1.32,1.0,False,21.861389885605778,-15.261329559372966,21.86869567400553,-15.267505602274715,2.2559098703428453,-5.079606200317371,0.22850246355474146
34.0,1.36,1.0,False,21.741424176330945,-15.426762507150647,21.751633165000907,-15.435892261845558,2.2636370930416523,-5.075221392019105,0.22709064760373834
35.0,1.4000000000000001,1.0,False,21.61979960925763,-15.591033032402764,21.628195639220415,-15.601524658826705,2.2710333138513237,-5.0706595240797565,0.22471147192800828
36.0,1.44,1.0,False,21.49645451713732,-15.754061620352628,21.50591296918066,-15.764005325559122,2.2779175923956236,-5.065927220981565,0.22120015051516892
37.0,1.48,1.0,False,21.371662465837073,-15.915926926043142,21.381959840066347,-15.924673715999765,2.2842801627356115,-5.061028984319194,0.21677119957976215
