0	[[[2050.2002 1056.6001  929.32  ]
  [ 922.2    1291.8     691.72  ]]]
1	[[[2051.4001 1051.8     698.72  ]]]
2	[[[2050.2002 1054.2001  701.24  ]]]
3	[[[2050.2002 1055.4     697.    ]]]
4	[[[2050.2002 1055.4     701.64  ]]]
5	[[[2050.2002 1055.4     701.48  ]]]
6	[[[2053.8    1056.6001  926.76  ]]]
7	[[[2050.2002 1054.2001  701.32  ]]]
8	[[[2047.8    1054.2001  699.24  ]]]
9	[[[2050.2002 1056.6001  929.4   ]]]
10	[[[2050.2002 1054.2001  701.28  ]]]
11	[[[2049.     1056.6001  929.08  ]]]
12	[[[2050.2002 1054.2001  701.28  ]]]
13	[[[2050.2002 1055.4     701.6   ]]]
14	[[[2050.2002 1055.4     701.44  ]]]
15	[[[2049.     1056.6001  928.4   ]]]
16	[[[2050.2002 1055.4     696.6   ]]]
17	[[[2047.8    1054.2001  699.88  ]]]
18	[[[2051.4001 1055.4     701.08  ]]]
19	[[[2049.     1056.6001  928.84  ]]]
20	[[[2050.2002 1053.      925.88  ]]]
21	[[[2050.2002 1055.4     701.72  ]]]
22	[[[2051.4001 1057.8     699.16  ]]]
23	[[[2050.2002 1055.4     701.52  ]]]
24	[[[2050.2002 1056.6001  928.6   ]]]
25	[[[2050.2002  1053.       926.16003]]]
26	[[[2051.4001 1055.4     696.4   ]]]
27	[[[2051.4001 1051.8     698.84  ]]]
28	[[[2047.8    1054.2001  699.28  ]]]
29	[[[2047.8    1054.2001  699.28  ]]]
30	[[[2053.8    1056.6001  927.    ]]]
31	[[[2049.   1055.4   922.96]]]
32	[[[2051.4001 1057.8     699.32  ]]]
33	[[[2050.2002 1055.4     701.48  ]]]
34	[[[2050.2002 1055.4     701.76  ]]]
35	[[[2049.  1055.4  922.8]]]
36	[[[2050.2002 1055.4     922.88  ]]]
37	[[[2050.2002 1054.2001  701.24  ]]]
38	[[[2050.2002 1054.2001  696.68  ]]]
39	[[[2047.8 1057.8  926. ]]]
40	[[[2049.   1055.4   928.96]]]
41	[[[2051.4001 1054.2001  697.16  ]]]
42	[[[2051.4001 1051.8     699.04  ]]]
43	[[[2050.2002 1054.2001  697.16  ]]]
44	[[[2051.4001 1054.2001  701.52  ]]]
45	[[[2051.4001 1050.6001  699.12  ]]]
46	[[[2049.      1053.       928.92004]]]
47	[[[2049.  1057.8  926.6]]]
48	[[[2049.     1054.2001  928.84  ]]]
49	[[[2051.4001 1053.      701.6   ]]]
50	[[[2053.8    1054.2001  926.84  ]]]
51	[[[2051.4001 1054.2001  929.8   ]]]
52	[[[2051.4001 1053.      697.28  ]]]
53	[[[2051.4001 1053.      697.24  ]]]
54	[[[2051.4001 1053.      697.24  ]]]
55	[[[2050.2002 1056.6001  926.44  ]]]
56	[[[2050.2002 1053.      923.48  ]]]
57	[[[2051.4001  1054.2001   929.72003]]]
58	[[[2052.6  1053.    701.48]]]
59	[[[2050.2002 1053.      923.12  ]]]
60	[[[2052.6  1051.8   697.36]]]
61	[[[2051.4001  1054.2001   929.72003]]]
62	[[[2052.6  1051.8   697.36]]]
63	[[[2051.4001 1051.8     702.28  ]]]
64	[[[2052.6    1050.6001  697.36  ]]]
65	[[[2052.6     1053.       929.72003]]]
66	[[[2052.6 1051.8  697.2]]]
67	[[[2047.8  1051.8   926.44]]]
68	[[[2052.6    1050.6001  696.96  ]]]
69	[[[2050.2002 1051.8     929.08  ]]]
70	[[[2050.2002 1054.2001  926.76  ]]]
71	[[[2050.2002 1050.6001  929.4   ]]]
72	[[[2052.6    1050.6001  701.76  ]]]
73	[[[2052.6    1050.6001  929.64  ]]]
74	[[[2051.4001  1051.8      699.4    ]
  [ 907.80005 1297.8      680.08   ]]]
75	[[[2051.4001 1049.4     923.28  ]]]
76	[[[2052.6    1050.6001  929.96  ]]]
77	[[[2053.8 1045.8  699.8]]]
78	[[[2051.4001 1048.2001  939.68  ]]]
79	[[[2052.6    1048.2001  697.08  ]]]
80	[[[2051.4001 1049.4     929.76  ]]]
81	[[[2053.8    1044.6001  699.2   ]]]
82	[[[2051.4001 1048.2001  702.2   ]]]
83	[[[2050.2002  1047.       929.56006]]]
84	[[[2050.2002 1047.      929.52  ]]]
85	[[[2051.4001 1048.2001  929.24  ]]]
86	[[[2051.4001 1047.      702.2   ]]]
87	[[[2051.4001 1047.      702.24  ]]]
88	[[[2047.8    1048.2001  926.4   ]]]
89	[[[2051.4001 1045.8     701.84  ]]]
90	[[[2050.2002 1050.6001  927.4   ]]]
91	[[[2051.4001 1045.8     702.24  ]]]
92	[[[2051.4001 1047.      929.32  ]]]
93	[[[2051.4001 1045.8     697.56  ]]]
94	[[[2053.8  1049.4   927.68]]]
95	[[[2051.4001 1047.      929.32  ]]]
96	[[[2053.8 1043.4  699.6]]]
97	[[[2052.6    1048.2001  700.16  ]]]
98	[[[2051.4001  1042.2001   926.56006]]]
99	[[[2051.4001 1047.      930.2   ]]]
100	[[[2052.6    1044.6001  697.64  ]]]
101	[[[2051.4001  1045.8      929.56006]]]
102	[[[2051.4001 1045.8     929.88  ]]]
103	[[[2050.2002 1044.6001  923.6   ]]]
104	[[[2050.2002  1044.6001   923.92004]]]
105	[[[2050.2002 1044.6001  923.28  ]]]
106	[[[2051.4001 1043.4     701.84  ]]]
107	[[[2052.6  1043.4   697.48]]]
108	[[[2051.4001 1043.4     701.96  ]]]
109	[[[2051.4001 1044.6001  930.2   ]]]
110	[[[2049.     1042.2001  699.72  ]]]
111	[[[2050.2002  1043.4      923.72003]]]
112	[[[2051.4001 1042.2001  702.24  ]]]
113	[[[2051.4001 1043.4     702.04  ]
  [ 995.4    1141.8     895.    ]]]
114	[[[2050.2002 1043.4     929.28  ]]]
115	[[[2050.2002 1044.6001  699.56  ]]]
116	[[[2051.4001 1043.4     930.32  ]]]
117	[[[2050.2002 1042.2001  697.64  ]]]
118	[[[2050.2002 1038.6001  926.32  ]]]
119	[[[2049.   1041.    700.08]]]
120	[[[2051.4001 1041.      702.16  ]]]
121	[[[2052.6  1041.    702.04]]]
122	[[[2046.6001 1041.      927.08  ]]]
123	[[[2051.4001 1042.2001  930.4   ]]]
124	[[[2052.6  1043.4   699.92]]]
125	[[[2050.2002  1041.       923.04004]]]
126	[[[2052.6 1035.   934.6]]]
127	[[[2050.2002 1041.      923.36  ]]]
128	[[[2053.8    1042.2001  927.4   ]]]
129	[[[2051.4001 1039.8     697.4   ]]]
130	[[[2051.4001 1042.2001  699.84  ]]]
131	[[[2050.2002 1039.8     939.88  ]]]
132	[[[2050.2002 1039.8     929.28  ]]]
133	[[[2049.     1038.6001  699.28  ]]]
134	[[[2052.6    1036.2001  699.52  ]]]
135	[[[2050.2002 1043.4     926.24  ]]]
136	[[[2050.2002 1038.6001  923.48  ]]]
137	[[[2050.2002 1043.4     927.    ]]]
138	[[[2051.4001 1038.6001  696.92  ]]]
139	[[[2055.   1039.8   926.68]]]
140	[[[2052.6    1038.6001  696.96  ]]]
141	[[[2051.4001 1039.8     929.96  ]]]
142	[[[2052.6 1039.8  930.2]]]
143	[[[2052.6 1035.   699.4]]]
144	[[[2051.4001 1037.4     922.6   ]]]
145	[[[2047.8    1038.6001  926.36  ]]]
146	[[[2051.4001 1038.6001  929.64  ]]]
147	[[[2051.4001 1038.6001  929.32  ]]]
148	[[[2051.4001 1037.4     922.6   ]]]
149	[[[2050.2002 1041.      926.24  ]]]
150	[[[2052.6    1036.2001  696.72  ]]]
151	[[[2051.4001 1037.4     923.2   ]]]
152	[[[2052.6    1036.2001  701.8   ]]]
153	[[[2051.4001  1037.4      928.72003]]]
154	[[[2053.8  1033.8   698.44]]]
155	[[[2051.4001 1037.4     929.    ]]]
156	[[[2049.  1037.4  925.6]]]
157	[[[2050.2002 1035.      699.64  ]]]
158	[[[2052.6     1037.4      928.56006]]]
159	[[[2051.4001 1037.4     928.48  ]]]
160	[[[2052.6     1037.4      928.80005]]]
161	[[[2053.8  1037.4   929.44]]]
162	[[[2053.8    1036.2001  700.8   ]]]
163	[[[2052.6  1035.    696.28]]]
164	[[[2052.6    1036.2001  696.8   ]]]
165	[[[2056.2002 1037.4     926.24  ]]]
166	[[[2047.8    1036.2001  925.52  ]]]
167	[[[2051.4001 1036.2001  928.12  ]]]
168	[[[2052.6    1036.2001  696.8   ]]]
169	[[[2053.8    1038.6001  698.92  ]]]
170	[[[2051.4001 1036.2001  928.48  ]]]
171	[[[2052.6    1036.2001  696.88  ]]]
172	[[[2056.2002 1038.6001  926.24  ]]]
173	[[[2053.8  1033.8   698.96]]]
174	[[[2051.4001 1035.      698.96  ]]]
175	[[[2053.8    1036.2001  696.52  ]]]
