frame_nr,time,measurement_available,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,-18.525033704898885,-18.943264654382208,-18.525033704898885,-18.943264654382208,4.01039148629577,-3.8516990277368532,-0.2709891302479484
1.0,0.04,0.0,-18.561291309260362,-18.893978857135032,-18.561291309260362,-18.893978857135032,4.01015560241931,-3.8526683813274127,-0.26492561939351644
2.0,0.08,0.0,-18.610733356035443,-18.832430056853013,-18.610733356035443,-18.832430056853013,4.010005366512754,-3.8519266151714957,-0.2575885360334951
3.0,0.12,0.0,-18.666678914194158,-18.772429633552544,-18.666678914194158,-18.772429633552544,4.009966536856985,-3.849417049044296,-0.24935483507744083
4.0,0.16,0.0,-18.715939345572362,-18.7079109344096,-18.715939345572362,-18.7079109344096,4.010055351285168,-3.845264397635426,-0.24056010146362594
5.0,0.2,0.0,-18.77347139898927,-18.63911076617578,-18.77347139898927,-18.63911076617578,4.010286742796461,-3.8396655698553834,-0.23138491384171994
6.0,0.24,0.0,-18.82776052700769,-18.571348315616227,-18.82776052700769,-18.571348315616227,4.010656414636746,-3.8328572182266774,-0.22208416033464565
7.0,0.28,0.0,-18.882850627283645,-18.5042175444153,-18.882850627283645,-18.5042175444153,4.011173762141706,-3.825112592846972,-0.21273978009018135
8.0,0.32,0.0,-18.93425555541169,-18.435905203818482,-18.93425555541169,-18.435905203818482,4.0118296378852145,-3.816699665332554,-0.20362675102153702
9.0,0.36,0.0,-18.989297190553703,-18.370317400825424,-18.989297190553703,-18.370317400825424,4.012627153798863,-3.807835214842152,-0.19475556542099046
10.0,0.4,1.0,-19.04102878908365,-18.304072250430565,-19.04102878908365,-18.304072250430565,4.013553277391426,-3.79868010118343,-0.1865118308343771
11.0,0.44,1.0,-19.09300170091778,-18.24215209363942,-19.09300170091778,-18.24215209363942,4.014606218751252,-3.789364305293251,-0.1788348860573838
12.0,0.48,1.0,-19.194253006810193,-18.121391330588274,-19.194253006810193,-18.121391330588274,4.015881336136073,-3.7790928857150328,-0.16659976630025802
13.0,0.52,1.0,-19.300852006433743,-17.999899046260875,-19.300852006433743,-17.999899046260875,4.017450832669152,-3.766887192146649,-0.1549526120601243
14.0,0.56,1.0,-19.39647302446559,-17.884423977957077,-19.39647302446559,-17.884423977957077,4.019323888584408,-3.7529452706550734,-0.14388942532578747
15.0,0.6,1.0,-19.494960479366238,-17.762752235875375,-19.494960479366238,-17.762752235875375,4.021501529874854,-3.737231919863352,-0.13349035770733447
16.0,0.64,1.0,-19.59325382788029,-17.643543087171164,-19.59325382788029,-17.643543087171164,4.023985486042606,-3.7200492804501337,-0.12373310403348955
