frame_nr,time,measurement_available,use_hbb,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,False,-26.324912777338692,-2.1703686050681887,-26.316088849782577,-2.341319492336371,4.70115312042242,-3.5984523172366587,0.28316899527389167
1.0,0.04,0.0,False,-26.326311556031403,-2.1363115351127244,-26.319405113158627,-2.272641272278432,4.703074453299421,-3.6135549865229506,0.28155880900404184
2.0,0.08,0.0,False,-26.327595006368725,-2.1016120520716477,-26.324092991984973,-2.2044321935151694,4.7046921706708735,-3.6276037896404034,0.2779986266593555
3.0,0.12,0.0,False,-26.328726736467225,-2.0668178282951994,-26.327042497366293,-2.1367462839236566,4.706335098707407,-3.640369264556954,0.2751028185633852
4.0,0.16,0.0,False,-26.329541120351003,-2.031003859607872,-26.33059342526015,-2.068404507407656,4.707891654956812,-3.6517324975718854,0.2688570693178272
5.0,0.2,0.0,False,-26.33022784842526,-1.9946945305939088,-26.332253786479527,-1.998667880947847,4.709834378050452,-3.661714675863905,0.2636252125265016
6.0,0.24,0.0,False,-26.332085418014106,-1.923033361999436,-26.33470422818767,-1.9319691153799394,4.71173237480859,-3.6704034795428258,0.2525120144789471
7.0,0.28,0.0,False,-26.3339073703473,-1.8442279839345377,-26.336579158729997,-1.8587156707841093,4.713701864118784,-3.677954899953345,0.24300071581771718
8.0,0.32,0.0,False,-26.335414966996225,-1.7581706322224777,-26.337780577255227,-1.7884640380836132,4.715740369550843,-3.684540105163858,0.23471964542652982
9.0,0.36,0.0,False,-26.33701871135344,-1.6650861105575758,-26.336870575304985,-1.7086781414219256,4.71801317019561,-3.690358404614631,0.22808909894323198
10.0,0.4,1.0,False,-26.338304424674597,-1.5646687562653632,-26.33709512916783,-1.6316012404542783,4.720385063280243,-3.695572684119811,0.22234149588762436
11.0,0.44,1.0,False,-26.339360428843914,-1.4572483019423201,-26.336522115259875,-1.5530466377971657,4.722953732609551,-3.700357584300421,0.21756506446338242
12.0,0.48,1.0,False,-26.34008405343669,-1.342362886042944,-26.33944658882381,-1.405782113564554,4.727541188333204,-3.7165967081076183,0.20986351738120987
13.0,0.52,1.0,False,-26.340500873488978,-1.2209189666317388,-26.34067655512313,-1.2578013246825086,4.7325141684047365,-3.731625315587383,0.20274288018521097
14.0,0.56,1.0,False,-26.34056957957188,-1.0921747880794292,-26.34468368529566,-1.1128165456097392,4.7379724742557325,-3.745650000812282,0.19597821952964264
15.0,0.6,1.0,False,-26.340404823111815,-0.9571989511070523,-26.344736271792847,-0.9638136101933112,4.743717573381692,-3.7586382533494005,0.18957318841748244
16.0,0.64,1.0,False,-26.33974715168756,-0.8152746678097729,-26.34386983234204,-0.8170428833943782,4.7495108457742585,-3.770889013231179,0.1833379686096873
17.0,0.68,1.0,False,-26.3385273486508,-0.6665951626737026,-26.34266409870823,-0.6682295404868008,4.755621684375521,-3.7820893485047824,0.1777355862750198
18.0,0.72,1.0,False,-26.336314642478523,-0.5171727800547095,-26.341164179305128,-0.5228325572608513,4.761933895632512,-3.7925661226863703,0.17279398496205808
19.0,0.76,1.0,False,-26.33321977214397,-0.3673926621313974,-26.338536344167174,-0.37227807400820856,4.768335618506506,-3.802625733680162,0.16816044693025547
20.0,0.8,1.0,False,-26.32896226988015,-0.21680921271504283,-26.33505825424417,-0.22394393472577961,4.774620137040397,-3.8125220419031236,0.16358820518526895
21.0,0.84,1.0,False,-26.32375282112703,-0.0657925536480875,-26.329860743501104,-0.07043412418420271,4.780937434554521,-3.8225224197875614,0.15911703479255443
22.0,0.88,1.0,False,-26.317700675975427,0.08557384562063032,-26.3231042818555,0.08242791869960658,4.787453455112764,-3.832853365347853,0.15591192190577896
23.0,0.92,1.0,False,-26.310774281487703,0.23698457355743804,-26.315106820928815,0.23786409524436997,4.794037225802052,-3.843798327249081,0.15267745859901277
24.0,0.96,1.0,False,-26.302782184514253,0.38849088837236,-26.30663298144301,0.38977997247392465,4.800504369035673,-3.855547615312241,0.15125969479226847
25.0,1.0,1.0,False,-26.293514250777562,0.5395927496991926,-26.29785116039371,0.5436013979701604,4.80664505140816,-3.8682055966375968,0.14941545033142822
26.0,1.04,1.0,False,-26.282999646774865,0.6907159806602815,-26.28743233550849,0.6973696395431974,4.812792798846667,-3.881784698866093,0.1521196209833547
27.0,1.08,1.0,False,-26.271151745381097,0.8414915753770312,-26.277296235674363,0.8479875085615177,4.819042669697143,-3.896234140708433,0.154498530658645
28.0,1.12,1.0,False,-26.258279076492588,0.9921123656522375,-26.266473759343246,0.9972884668180839,4.825193112660233,-3.911427887536309,0.156116044040501
29.0,1.16,1.0,False,-26.24409876679256,1.1426206321041965,-26.253251112597262,1.1437369057032905,4.83108113864049,-3.927177391796961,0.15652885913281608
30.0,1.2,1.0,False,-26.228960829949777,1.293002086362532,-26.236589073063477,1.2898424005869493,4.836979510400917,-3.943277682103564,0.15652263412152498
31.0,1.24,1.0,False,-26.212619558884192,1.4434850853097412,-26.219397610214486,1.4384116058461984,4.842902755396014,-3.9594912892429877,0.15655162772100478
32.0,1.28,1.0,False,-26.195258681623844,1.5940397389809204,-26.199533828169713,1.588097417700044,4.848837285564501,-3.975576068105517,0.15607788919010687
33.0,1.32,1.0,False,-26.176711478969228,1.7453590199692763,-26.181504924081885,1.7392566117268742,4.854526351745287,-3.991259292193546,0.1549176841702162
34.0,1.36,1.0,False,-26.157073303720754,1.8973374822905036,-26.15912341422856,1.893455026215922,4.8601284750241645,-4.006298435288496,0.15343682353681384
35.0,1.4000000000000001,1.0,False,-26.13653169482455,2.050483952593144,-26.140115676172407,2.0439759693156136,4.865646026706104,-4.020473009457902,0.15213463290123172
36.0,1.44,1.0,False,-26.1151342982316,2.204337349588339,-26.11809717867222,2.1989143863894616,4.871472984589709,-4.033608014377088,0.1512627948050877
37.0,1.48,1.0,False,-26.092837953533852,2.3591562663740215,-26.096462685644706,2.353470829926171,4.876957496206557,-4.045556326230643,0.14960035591857293
38.0,1.52,1.0,False,-26.06980947435535,2.5148184025609504,-26.073277006473525,2.5124995994334336,4.882449528073764,-4.056209754242027,0.14776523600162955
39.0,1.56,1.0,False,-26.045797683141146,2.671570410829656,-26.0504538316101,2.6690515523515836,4.887967735837493,-4.065508871701289,0.14629385872747194
40.0,1.6,1.0,False,-26.021064557709725,2.8290208222475797,-26.027293414738995,2.8283480790323345,4.893840025057504,-4.0734575710170535,0.1459132104944239
41.0,1.6400000000000001,1.0,False,-25.995322562011783,2.987409102366066,-26.00121771054095,2.982229767534089,4.8998044825259885,-4.080088335991841,0.14562905874232995
42.0,1.68,1.0,False,-25.968439570536805,3.14655269538667,-25.974137818539283,3.1414196904887097,4.905712427107801,-4.085475196784996,0.14499151934960047
43.0,1.72,1.0,False,-25.94041534697249,3.3067789625259576,-25.94622055720625,3.300380915756258,4.911667773993853,-4.089727614238021,0.14457330759624126
44.0,1.76,1.0,False,-25.911608626108617,3.4671632511520696,-25.91737522072565,3.463528702682639,4.917980565833688,-4.093010508398809,0.1451573927532687
45.0,1.8,1.0,False,-25.882077813096775,3.6281796445858223,-25.88705903448288,3.6254095518130853,4.924440341167234,-4.0954854720496865,0.14596103370432909
