frame_nr,time,measurement_available,use_hbb,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,False,-7.685153456753905,29.64361567554323,-7.778854108616378,29.632057732590688,6.013416665391751,-1.978466973535946,0.2826997003473428
1.0,0.04,0.0,False,-7.664553638242095,29.64805117724228,-7.74211485606876,29.633436503642535,6.014669744677962,-1.9816601497119297,0.2810478087850003
2.0,0.08,0.0,False,-7.643759766700978,29.652765031730336,-7.708055885796006,29.637486537194125,6.016183930113694,-1.9846646240591717,0.2772220317695735
3.0,0.12,0.0,False,-7.622957460905648,29.657732017316462,-7.666859151400836,29.643768637890275,6.018049010280556,-1.98742974962678,0.27424328490585376
4.0,0.16,0.0,False,-7.6022823950220015,29.662771797791283,-7.628849549528831,29.65187006804804,6.0200946321964715,-1.9899495041645041,0.2675356268344272
5.0,0.2,0.0,False,-7.581813968079183,29.667910342906897,-7.586187189112613,29.663074573893706,6.022442092886853,-1.9922521129281723,0.26214506652302083
6.0,0.24,0.0,False,-7.541869567385317,29.676785963404598,-7.540954727171243,29.674664187436562,6.025022821638354,-1.9943667152675921,0.2502152810525638
7.0,0.28,0.0,False,-7.498253822038026,29.68723029498674,-7.498202665913151,29.685762013146764,6.027568620030788,-1.9962867014392436,0.2404045574565065
8.0,0.32,0.0,False,-7.450920853980033,29.698805103408088,-7.456539014543015,29.697467902005467,6.030275532439957,-1.998005529902504,0.23274515925627395
9.0,0.36,0.0,False,-7.400101707001354,29.711532287635762,-7.416206802069188,29.708129822064684,6.03285786939126,-1.999519365536532,0.22643105324415883
10.0,0.4,1.0,False,-7.346049127327885,29.725199905063054,-7.377129698651004,29.71929579406304,6.03540007622406,-2.0008355856590936,0.22122847448390895
11.0,0.44,1.0,False,-7.288980784814367,29.7395027738679,-7.339465700983834,29.7296895580654,6.037751461113537,-2.001948865404896,0.21657262363272883
12.0,0.48,1.0,False,-7.228781989148646,29.75486967789536,-7.26234165724856,29.74832415104615,6.041202005876544,-2.005453138599266,0.2086544661505439
13.0,0.52,1.0,False,-7.1650124398700425,29.771465101381125,-7.187393237158086,29.76480942982887,6.044893598915103,-2.0084289994914144,0.20071020895698818
14.0,0.56,1.0,False,-7.097857614379849,29.789102653602928,-7.107848534635368,29.783767664394702,6.049025881436256,-2.010875468849575,0.19303880878980412
