frame_nr,time,measurement_available,use_hbb,x,y,state1,state2,state3,state4,state5
0.0,0.0,0.0,False,-8.581214083632597,-24.809639245019426,-8.396108793699996,-24.872265081846777,3.5151925129060837,-3.8336202043163348,0.28307956865485395
1.0,0.04,0.0,False,-8.617223960970996,-24.79676693850306,-8.469646962501802,-24.84770613509565,3.5169277600621762,-3.8500826874497447,0.2814610251343431
2.0,0.08,0.0,False,-8.65255858253429,-24.783952365517454,-8.544894596456238,-24.824388741925645,3.5185930828626395,-3.8655476558048645,0.27784296544428916
3.0,0.12,0.0,False,-8.687864574172472,-24.77095823528268,-8.619879009780169,-24.79694626808903,3.520380414315479,-3.8797265704398574,0.27493122620493615
4.0,0.16,0.0,False,-8.723204290262952,-24.757879953427846,-8.691018792464236,-24.771908473377707,3.522185166100497,-3.8924733849400974,0.26858562808618747
5.0,0.2,0.0,False,-8.7590642531652,-24.744614806019342,-8.765736346893139,-24.744620769781736,3.5240260965820385,-3.9037369713202326,0.2633235828232036
6.0,0.24,0.0,False,-8.831519968554293,-24.718372039733296,-8.833283225001386,-24.71953309940485,3.5260356823847263,-3.9135731376615452,0.2520345461968538
7.0,0.28,0.0,False,-8.910745580094487,-24.689529878031564,-8.899900933477355,-24.694250354618234,3.528162749263609,-3.922065774358802,0.24246635592830923
8.0,0.32,0.0,False,-8.996427181773255,-24.657903824418614,-8.970312507277919,-24.6670051934045,3.5303600525205,-3.9293284430793713,0.23445033060269138
9.0,0.36,0.0,False,-9.088797551084598,-24.62374817429981,-9.041261735077288,-24.640175416734348,3.5326538715149396,-3.935460951444596,0.22758745035214722
10.0,0.4,1.0,False,-9.188235437641012,-24.586580609461183,-9.117663882187674,-24.61196333193428,3.535010724350776,-3.940554246653059,0.22200762707911495
11.0,0.44,1.0,False,-9.294673338249082,-24.54658905110998,-9.19312166298003,-24.58359465270029,3.537457619848859,-3.944717419598264,0.2171945047043799
12.0,0.48,1.0,False,-9.408453080667433,-24.503475031214656,-9.341128689443911,-24.530442356376575,3.5415923660243265,-3.9605462606573782,0.20920654618220696
13.0,0.52,1.0,False,-9.529642291842007,-24.457222576560923,-9.487392214922703,-24.47650215218321,3.5460387711185164,-3.9743280082337997,0.20141636890214304
14.0,0.56,1.0,False,-9.658271260031714,-24.407544705281108,-9.635953072204947,-24.42123411678221,3.55058663548227,-3.986133928117087,0.1937257508828914
15.0,0.6,1.0,False,-9.793745058403474,-24.354460001859426,-9.784835544584798,-24.36306526015281,3.5555920716770992,-3.9958034016907336,0.186326645392149
16.0,0.64,1.0,False,-9.935629334177086,-24.29805837249606,-9.93655325358187,-24.304713627918467,3.560850893758226,-4.003533225264099,0.17936225809557987
17.0,0.68,1.0,False,-10.083898641259973,-24.23832829888537,-10.084860391603272,-24.245278880556295,3.5664389895851443,-4.008897024309565,0.17283371014861132
18.0,0.72,1.0,False,-10.231993356998741,-24.177495892401883,-10.23298225639765,-24.185473353427177,3.572169653850131,-4.012136599867852,0.16675300645914612
19.0,0.76,1.0,False,-10.380323383748754,-24.11554897755618,-10.38523115736471,-24.12054860932654,3.5780492430607915,-4.013501683333084,0.16081112507021605
20.0,0.8,1.0,False,-10.528224456903216,-24.05262239162157,-10.531473517166644,-24.05624367909582,3.584090168011554,-4.013267862643919,0.1557122479528646
21.0,0.84,1.0,False,-10.676648391725179,-23.98887821019656,-10.678390915697424,-23.991545408937302,3.590031384297127,-4.011762703336182,0.1503366448925941
22.0,0.88,1.0,False,-10.825033644202934,-23.924273044105504,-10.824084040891776,-23.926563842982702,3.596156117874871,-4.009313171816226,0.14628146688311883
23.0,0.92,1.0,False,-10.973374929251206,-23.858906904365426,-10.970170562570376,-23.861285885058173,3.602262138826221,-4.006366652528628,0.1421055384505924
24.0,0.96,1.0,False,-11.12171532548433,-23.792726403768384,-11.119022509172844,-23.795086088880428,3.608404925641424,-4.003330074298451,0.14033513585743476
25.0,1.0,1.0,False,-11.269208560857466,-23.726151422452986,-11.262864876904002,-23.729041671501527,3.614603190077088,-4.000577796553001,0.1384104292282506
26.0,1.04,1.0,False,-11.416382182717163,-23.659064693426526,-11.417498827626405,-23.661879264477708,3.6207112353145674,-3.9984068047248065,0.1413618859169002
27.0,1.08,1.0,False,-11.563005154757903,-23.591325518200996,-11.568791030837176,-23.594056800916842,3.6266829311957514,-3.997085368249672,0.1438574480821246
28.0,1.12,1.0,False,-11.7091716594371,-23.522760140652938,-11.716614527134265,-23.526251343415474,3.6327990838435786,-3.9968358280685914,0.14610089200206844
29.0,1.16,1.0,False,-11.854704143174457,-23.4531799453265,-11.864726614961999,-23.4574878468597,3.6388990662426175,-3.9978471110085065,0.14821135361868695
30.0,1.2,1.0,False,-11.999352946804095,-23.382741144777413,-12.007656746469241,-23.388223814857135,3.645214118077918,-4.000278741327025,0.1499248052511008
31.0,1.24,1.0,False,-12.143334891052776,-23.311194021652724,-12.150383357623287,-23.31828965980482,3.651426577740861,-4.004211205145741,0.15110660012635535
32.0,1.28,1.0,False,-12.285806655435795,-23.238791614020105,-12.29124360814556,-23.246414481456423,3.657901014900625,-4.009680426424781,0.1521523472646318
33.0,1.32,1.0,False,-12.427159277522252,-23.16532886070772,-12.431915592362943,-23.172344689954095,3.664393098012475,-4.0166396017287385,0.1530752316658056
34.0,1.36,1.0,False,-12.567210733059888,-23.091330188501686,-12.571027883681321,-23.09590373646737,3.671162206605856,-4.024972328655371,0.1541657256907472
35.0,1.4000000000000001,1.0,False,-12.706291809646352,-23.01650868078869,-12.710159349098829,-23.020259282840488,3.6780139183133427,-4.034494447677895,0.15523835442999515
36.0,1.44,1.0,False,-12.845001724344467,-22.940825211735593,-12.846666263639516,-22.94202331712987,3.685041972232123,-4.044968204591745,0.15672667059266904
37.0,1.48,1.0,False,-12.983079544936972,-22.864169787220952,-12.984688235839613,-22.865452780518964,3.692147593737083,-4.056147444195303,0.1581742135228696
38.0,1.52,1.0,False,-13.120907021615665,-22.786637081778505,-13.123669873788193,-22.785966514480638,3.6996339982650674,-4.067739866339037,0.16024568588505356
39.0,1.56,1.0,False,-13.258338997173421,-22.708224390008397,-13.257180538048278,-22.712265949149025,3.7072963229435367,-4.079442676309051,0.16268484445820186
40.0,1.6,1.0,False,-13.395557535331891,-22.629158555905068,-13.394618457413092,-22.634451262016807,3.7152629934178734,-4.090933149493435,0.1654893819223307
41.0,1.6400000000000001,1.0,False,-13.532032476538724,-22.549025366734824,-13.533465808148506,-22.55570565527308,3.7235550438374228,-4.10188319640838,0.16897868097537833
42.0,1.68,1.0,False,-13.668405711322551,-22.46794011815845,-13.669239384140877,-22.475079990143726,3.7321531773859205,-4.111981572820175,0.17318470089231436
43.0,1.72,1.0,False,-13.80472179823883,-22.38541536193395,-13.807345851611146,-22.393554721589545,3.740992905882311,-4.120924639754195,0.1775652355189791
44.0,1.76,1.0,False,-13.94103678071332,-22.3016198308768,-13.94366732349826,-22.30980508048284,3.7499692866480614,-4.1284541983287095,0.1821838254337485
